City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Rikitea,PF,73.08,clear sky,-23.1203,-134.9692,People ThankYou
5,Hobart,AU,60.66,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
8,Aguimes,ES,68.63,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
9,Busselton,AU,63.21,clear sky,-33.65,115.3333,Observatory Guest House
10,Baringo,KE,79.32,clear sky,0.4667,35.9667,Khoisang Hostels
11,Portland,US,67.78,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
13,Caravelas,BR,66.0,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
16,Arraial Do Cabo,BR,67.42,few clouds,-22.9661,-42.0278,Pousada Porto Praia
17,Salmon Creek,US,67.32,clear sky,45.7107,-122.649,La Quinta Inn & Suites by Wyndham Vancouver
18,Butaritari,KI,82.4,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
21,Poso,ID,84.52,scattered clouds,-1.3959,120.7524,Hotel 77 Poso
25,Ojinaga,MX,79.75,clear sky,29.5667,-104.4167,Suites Las Palmas
26,Usolye,RU,64.18,overcast clouds,59.4268,56.6808,Khostel Barbaris Na Solevarov
27,Kapaa,US,80.58,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
28,Touros,BR,74.84,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
29,Nakamura,JP,77.07,broken clouds,32.9833,132.9333,Hotel Crown Hills Nakamura
31,Sao Joao Da Barra,BR,67.93,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
32,Harper,LR,75.69,light rain,4.375,-7.7169,Screensaver
33,La Orilla,MX,75.04,overcast clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
34,Mackay,AU,82.69,few clouds,-21.15,149.2,International Lodge Motel
40,Ballina,AU,69.84,clear sky,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
41,Kilindoni,TZ,77.2,overcast clouds,-7.9139,39.6668,Bustani B&B
43,Biak,ID,82.0,moderate rain,-0.9131,122.8766,Penginapan Kim
44,Caibarien,CU,76.32,clear sky,22.5206,-79.4669,La Nena
45,Cape Town,ZA,64.11,clear sky,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
48,Bethel,US,66.54,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
49,Derbent,RU,76.55,few clouds,42.0678,48.2899,Elit
51,Olinda,BR,78.53,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
54,Colares,PT,73.76,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
58,Oblivskaya,RU,66.83,broken clouds,48.5362,42.5014,Мотель Каприз
59,Mount Gambier,AU,63.97,overcast clouds,-37.8333,140.7667,The Commodore
62,San Andres,CO,78.82,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
63,Hasaki,JP,70.29,overcast clouds,35.7333,140.8333,Inubosaki Kanko Hotel
65,Sabancuy,MX,76.21,few clouds,18.9667,-91.1833,Posada Sabancuy
67,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
68,Ribeira Grande,PT,70.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
69,Phan Thiet,VN,87.35,light rain,10.9333,108.1,Hotel Saigon-PT
70,Mikuni,JP,67.15,overcast clouds,36.2171,136.1519,Seifuso
71,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
72,Matale,LK,88.5,overcast clouds,7.4721,80.6234,Anil's Inn
73,Salalah,OM,86.09,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
74,New Norfolk,AU,60.3,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
75,Saint George,US,75.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
76,Pandan,PH,84.61,moderate rain,14.0453,124.1694,Bonifacio Lodge
77,Lazaro Cardenas,MX,75.49,overcast clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
78,Tura,IN,85.55,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
79,Moerai,PF,73.72,clear sky,-22.4333,-151.3333,Le Manotel
81,Cabo San Lucas,MX,80.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
82,Jamestown,US,65.79,broken clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
86,Bengkulu,ID,81.01,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
88,Tecalitlan,MX,64.78,overcast clouds,19.4667,-103.3,Hotel Tierra Bella
93,Sorong,ID,83.37,light rain,-0.8833,131.25,Waigo Splash Hotel
94,Dingle,PH,85.46,heavy intensity rain,10.9995,122.6711,SEGAYA PROPERTY
95,Anshun,CN,78.03,broken clouds,26.25,105.9333,安顺麦吉风格酒店
97,Puerto El Triunfo,SV,75.51,light rain,13.2833,-88.55,Hotel Jardin
98,Vila Velha,BR,69.75,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
100,Corsicana,US,79.75,clear sky,32.0954,-96.4689,"Holiday Inn Express & Suites Corsicana I-45, an IHG Hotel"
104,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,Mercure Padang
106,Vaini,TO,75.36,broken clouds,-21.2,-175.2,Keleti Beach Resort
109,Melilla,ES,73.78,broken clouds,35.2937,-2.9383,Hotel Anfora
112,Abalak,RU,72.75,scattered clouds,58.1286,68.5944,Туристический комплекс Абалак
113,Esperance,AU,62.92,few clouds,-33.8667,121.9,Hospitality Esperance
115,Saint Anthony,US,69.73,scattered clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
116,Uray,RU,68.41,overcast clouds,60.1247,64.7758,Hotel Pioner
117,Kavieng,PG,82.99,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
118,Mahon,ES,68.56,few clouds,39.8885,4.2658,ARTIEM Capri
119,Brookings,US,70.38,clear sky,44.3114,-96.7984,"Holiday Inn Express & Suites Brookings, an IHG Hotel"
121,Ponta Do Sol,PT,70.72,few clouds,32.6667,-17.1,Hotel do Campo
123,Tambopata,PE,77.9,broken clouds,-12.7333,-69.1833,Enashawa Lodge
124,Nuevo Progreso,MX,76.46,clear sky,23.1667,-97.95,Balneario Rio el Paraiso
125,Guerrero Negro,MX,69.64,overcast clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Srivardhan,IN,81.99,scattered clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
