City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Chokurdakh,70.6333,147.9167,43.34,44,100,13.98,RU,2022-09-19 02:33:59
1,Kieta,-6.2167,155.6333,81.77,83,100,6.51,PG,2022-09-19 02:33:59
2,Lebu,-37.6167,-73.65,43.05,77,2,6.71,CL,2022-09-19 02:32:58
3,Rikitea,-23.1203,-134.9692,72.3,76,35,18.79,PF,2022-09-19 02:34:00
4,Elyria,41.3684,-82.1077,75.42,71,75,8.05,US,2022-09-19 02:34:00
5,New Norfolk,-42.7826,147.0587,61.72,64,65,5.99,AU,2022-09-19 02:34:00
6,Vlore,40.4667,19.4897,60.42,67,0,5.26,AL,2022-09-19 02:34:01
7,Kavieng,-2.5744,150.7967,83.16,74,100,10.71,PG,2022-09-19 02:34:01
8,Pevek,69.7008,170.3133,32.65,92,100,15.84,RU,2022-09-19 02:34:02
9,Puerto Ayora,-0.7393,-90.3518,67.55,88,60,3.0,EC,2022-09-19 02:31:16
10,Tessalit,20.1986,1.0114,86.76,40,97,7.83,ML,2022-09-19 02:34:02
11,Vaini,-21.2,-175.2,74.1,78,99,21.9,TO,2022-09-19 02:34:03
12,Saskylakh,71.9167,114.0833,34.77,85,100,10.36,RU,2022-09-19 02:34:03
13,Saint-Philippe,-21.3585,55.7679,69.39,82,64,13.22,RE,2022-09-19 02:34:03
14,Katsuura,35.1333,140.3,82.18,85,74,19.66,JP,2022-09-19 02:34:04
15,Bengkulu,-3.8004,102.2655,81.19,71,100,2.62,ID,2022-09-19 02:34:04
16,Albany,42.6001,-73.9662,67.73,94,98,4.79,US,2022-09-19 02:33:46
17,Huangmei,30.1924,116.025,86.65,46,0,9.8,CN,2022-09-19 02:34:05
18,Kaohsiung,22.6163,120.3133,90.03,61,75,3.44,TW,2022-09-19 02:30:08
19,Lata,40.1629,-8.3327,68.07,70,100,3.65,PT,2022-09-19 02:34:06
20,Besikduzu,41.052,39.2284,76.89,91,75,9.35,TR,2022-09-19 02:34:06
21,Dikson,73.5069,80.5464,31.17,76,56,15.52,RU,2022-09-19 02:33:07
22,Richards Bay,-28.783,32.0377,64.69,95,18,7.96,ZA,2022-09-19 02:34:07
23,Salalah,17.0151,54.0924,78.89,83,20,4.61,OM,2022-09-19 02:34:07
24,Mbandaka,0.0487,18.2603,69.01,97,93,1.99,CD,2022-09-19 02:34:07
25,Castro,-24.7911,-50.0119,49.37,97,21,8.48,BR,2022-09-19 02:34:08
26,Cidreira,-30.1811,-50.2056,62.26,78,100,22.21,BR,2022-09-19 02:34:08
27,West Bay,19.3667,-81.4167,84.27,78,20,4.61,KY,2022-09-19 02:34:09
28,Pisco,-13.7,-76.2167,60.85,82,8,3.44,PE,2022-09-19 02:34:09
29,Busselton,-33.65,115.3333,54.01,85,88,11.63,AU,2022-09-19 02:34:10
30,Faanui,-16.4833,-151.75,78.76,73,10,17.58,PF,2022-09-19 02:34:10
31,Ponta Do Sol,32.6667,-17.1,73.0,90,49,4.36,PT,2022-09-19 02:34:11
32,Mataura,-46.1927,168.8643,61.77,56,100,6.33,NZ,2022-09-19 02:34:11
33,Kumluca,36.3703,30.2869,74.41,73,0,3.24,TR,2022-09-19 02:34:11
34,Jamestown,42.097,-79.2353,70.72,64,0,6.91,US,2022-09-19 02:33:47
35,Tasiilaq,65.6145,-37.6368,46.56,98,100,3.51,GL,2022-09-19 02:34:12
36,Cape Town,-33.9258,18.4232,58.37,71,45,7.0,ZA,2022-09-19 02:33:46
37,Atuona,-9.8,-139.0333,76.82,76,25,20.2,PF,2022-09-19 02:34:13
38,Ushuaia,-54.8,-68.3,37.06,70,0,0.0,AR,2022-09-19 02:34:13
39,Cherskiy,68.75,161.3,37.81,53,86,5.26,RU,2022-09-19 02:34:13
40,Paamiut,61.994,-49.6678,42.66,94,100,2.89,GL,2022-09-19 02:34:14
41,Yellowknife,62.456,-114.3525,50.56,81,75,4.61,CA,2022-09-19 02:30:52
42,Sechura,-5.5569,-80.8222,63.95,86,0,12.26,PE,2022-09-19 02:34:14
43,Conceicao Do Araguaia,-8.2578,-49.2647,85.14,39,74,1.19,BR,2022-09-19 02:34:15
44,Hobyo,5.3505,48.5268,75.85,87,95,20.8,SO,2022-09-19 02:34:15
45,Ziro,27.6333,93.8333,59.74,68,73,0.74,IN,2022-09-19 02:34:15
46,Chuy,-33.6971,-53.4616,58.42,86,100,10.27,UY,2022-09-19 02:34:16
47,Yumen,40.2833,97.2,74.14,22,73,12.12,CN,2022-09-19 02:35:16
48,Hobart,-42.8794,147.3294,62.06,52,75,5.75,AU,2022-09-19 02:35:00
49,Esmeraldas,-19.7625,-44.3139,61.66,83,0,7.43,BR,2022-09-19 02:35:17
50,Vanimo,-2.6741,141.3028,86.36,63,32,6.02,PG,2022-09-19 02:35:18
51,San Jose De Gracia,20.6667,-102.5833,59.47,97,100,1.1,MX,2022-09-19 02:35:18
52,Pandharpur,17.6667,75.3333,75.36,74,100,11.07,IN,2022-09-19 02:35:19
53,Tuatapere,-46.1333,167.6833,59.76,60,96,5.59,NZ,2022-09-19 02:35:19
54,Kiama,-34.6833,150.8667,70.38,36,84,9.17,AU,2022-09-19 02:35:19
55,Road Town,18.4167,-64.6167,82.49,81,100,25.05,VG,2022-09-19 02:35:20
56,Avarua,-21.2078,-159.775,73.45,94,100,6.91,CK,2022-09-19 02:35:20
57,Smithers,54.7804,-127.1743,55.72,62,20,6.91,CA,2022-09-19 02:35:21
58,Nizhneangarsk,55.7833,109.55,40.26,50,100,3.6,RU,2022-09-19 02:35:21
59,Severo-Kurilsk,50.6789,156.125,52.57,97,100,20.49,RU,2022-09-19 02:35:22
60,Torbay,47.6666,-52.7314,50.76,77,0,12.66,CA,2022-09-19 02:35:23
61,Hilo,19.7297,-155.09,81.28,87,100,6.91,US,2022-09-19 02:34:39
62,Pimenta Bueno,-11.6725,-61.1936,80.69,64,35,6.08,BR,2022-09-19 02:35:23
63,Port Lincoln,-34.7333,135.8667,60.03,61,2,9.57,AU,2022-09-19 02:35:24
64,Olinda,-8.0089,-34.8553,78.53,65,20,8.05,BR,2022-09-19 02:34:34
65,Russell,32.3502,-85.1999,72.63,94,0,0.0,US,2022-09-19 02:35:25
66,Shancheng,34.7953,116.0817,79.3,33,8,13.04,CN,2022-09-19 02:35:25
67,Umm Lajj,25.0213,37.2685,81.41,51,0,10.07,SA,2022-09-19 02:35:26
68,College,64.8569,-147.8028,57.52,57,75,5.75,US,2022-09-19 02:35:26
69,Kuryk,43.2,51.65,72.64,33,0,16.28,KZ,2022-09-19 02:35:26
70,Chumikan,54.7183,135.315,44.37,69,100,14.52,RU,2022-09-19 02:35:27
71,Hermanus,-34.4187,19.2345,48.79,68,91,8.66,ZA,2022-09-19 02:35:27
72,Margate,51.3813,1.3862,54.7,72,87,5.99,GB,2022-09-19 02:35:28
73,Butaritari,3.0707,172.7902,82.26,74,8,18.34,KI,2022-09-19 02:35:28
74,Bredasdorp,-34.5322,20.0403,48.09,85,88,4.27,ZA,2022-09-19 02:35:29
75,Salair,54.2312,85.7972,54.07,45,6,2.73,RU,2022-09-19 02:35:29
76,Barrow,71.2906,-156.7887,44.62,81,75,11.5,US,2022-09-19 02:35:30
77,Traverse City,44.7631,-85.6206,73.51,79,75,5.75,US,2022-09-19 02:35:30
78,Baijiantan,45.6333,85.1833,68.99,25,9,4.74,CN,2022-09-19 02:35:31
79,Liancheng,24.0519,105.075,77.04,74,7,3.44,CN,2022-09-19 02:35:31
80,Mar Del Plata,-38.0023,-57.5575,56.08,97,100,18.01,AR,2022-09-19 02:35:32
81,Ginir,7.1333,40.7,58.12,70,72,4.97,ET,2022-09-19 02:35:33
82,Provideniya,64.3833,-173.3,42.91,100,100,8.99,RU,2022-09-19 02:35:33
83,Yulara,-25.2406,130.9889,86.56,12,6,7.29,AU,2022-09-19 02:35:33
84,Hammerfest,70.6634,23.6821,43.25,100,75,14.97,NO,2022-09-19 02:35:34
85,Oranjestad,12.524,-70.027,85.95,79,20,8.05,AW,2022-09-19 02:35:34
86,Hithadhoo,-0.6,73.0833,81.9,74,99,7.58,MV,2022-09-19 02:35:35
87,Merauke,-8.4667,140.3333,86.32,66,94,9.6,ID,2022-09-19 02:35:35
88,Sawtell,-30.3833,153.1,80.19,49,85,14.97,AU,2022-09-19 02:35:35
89,Klaksvik,62.2266,-6.589,45.52,73,56,10.74,FO,2022-09-19 02:35:36
90,Asfi,32.2994,-9.2372,69.4,87,0,3.2,MA,2022-09-19 02:35:36
91,Bakchar,57.0186,82.0711,51.13,58,100,10.31,RU,2022-09-19 02:36:37
92,Oktyabrskoye,43.0645,44.7417,55.54,88,0,4.47,RU,2022-09-19 02:36:37
93,Djambala,-2.5447,14.7533,70.25,84,100,3.51,CG,2022-09-19 02:36:38
94,Bethel,41.3712,-73.414,73.76,78,40,5.99,US,2022-09-19 02:36:38
95,Fortuna,40.5982,-124.1573,62.1,88,100,3.0,US,2022-09-19 02:36:39
96,Narsaq,60.9167,-46.05,57.42,70,92,3.62,GL,2022-09-19 02:36:39
97,Kirsanov,52.6549,42.7224,64.04,84,98,17.18,RU,2022-09-19 02:36:39
98,Nikolskoye,59.7035,30.7861,49.91,97,99,5.21,RU,2022-09-19 02:36:40
99,Rio Gallegos,-51.6226,-69.2181,39.25,93,0,2.3,AR,2022-09-19 02:36:40
100,Freeport,40.6576,-73.5832,78.19,73,0,12.66,US,2022-09-19 02:32:20
101,Tautira,-17.7333,-149.15,77.4,76,20,17.81,PF,2022-09-19 02:36:41
102,Touros,-5.1989,-35.4608,76.78,79,4,16.06,BR,2022-09-19 02:36:42
103,Kaitangata,-46.2817,169.8464,58.98,58,100,4.16,NZ,2022-09-19 02:36:42
104,Kermanshah,34.3142,47.065,58.1,17,0,0.0,IR,2022-09-19 02:36:42
105,Oswego,43.4501,-76.1497,69.58,94,62,1.01,US,2022-09-19 02:36:43
106,Caravelas,-17.7125,-39.2481,68.02,78,13,5.5,BR,2022-09-19 02:36:43
107,Punta Arenas,-53.15,-70.9167,35.71,87,0,5.75,CL,2022-09-19 02:32:28
108,Mount Isa,-20.7333,139.5,92.97,14,4,16.11,AU,2022-09-19 02:36:44
109,Sabang,5.8933,95.3214,82.47,72,93,18.54,ID,2022-09-19 02:36:45
110,Sinnamary,5.3833,-52.95,79.27,84,100,10.29,GF,2022-09-19 02:36:45
111,Portland,45.5234,-122.6762,73.99,59,75,6.91,US,2022-09-19 02:36:09
112,Port Alfred,-33.5906,26.891,53.19,95,100,1.99,ZA,2022-09-19 02:36:46
113,Nandyal,15.4833,78.4833,81.88,65,100,11.74,IN,2022-09-19 02:36:46
114,Ancud,-41.8697,-73.8203,42.22,88,36,6.51,CL,2022-09-19 02:33:33
115,Vila Do Maio,15.1333,-23.2167,77.79,68,88,9.48,CV,2022-09-19 02:36:47
116,Apostolove,47.66,33.7137,50.76,68,0,13.42,UA,2022-09-19 02:36:48
117,Bathsheba,13.2167,-59.5167,81.21,89,75,13.8,BB,2022-09-19 02:36:49
118,Hambantota,6.1241,81.1185,80.94,89,20,8.05,LK,2022-09-19 02:36:49
119,The Pas,53.8251,-101.2541,55.42,88,0,5.75,CA,2022-09-19 02:36:50
120,San Patricio,28.017,-97.5169,85.86,74,0,9.26,US,2022-09-19 02:36:51
121,Abbeville,50.1,1.8333,51.49,85,46,5.55,FR,2022-09-19 02:36:51
122,Kapaa,22.0752,-159.319,82.72,76,100,10.36,US,2022-09-19 02:36:52
123,Luderitz,-26.6481,15.1594,51.73,78,58,11.16,NA,2022-09-19 02:36:53
124,Ambilobe,-13.2,49.05,65.86,78,2,4.56,MG,2022-09-19 02:36:53
125,Carnarvon,-24.8667,113.6333,65.91,58,84,24.67,AU,2022-09-19 02:36:53
126,Marsh Harbour,26.5412,-77.0636,83.25,68,23,12.35,BS,2022-09-19 02:36:54
127,Maldonado,-34.6667,-54.9167,59.23,86,100,9.91,UY,2022-09-19 02:31:57
128,Cairns,-16.9167,145.7667,94.06,74,6,11.5,AU,2022-09-19 02:36:54
129,Soyo,-6.1349,12.3689,72.97,89,100,7.83,AO,2022-09-19 02:36:55
130,Bud,39.447,-86.1758,75.04,82,1,8.39,US,2022-09-19 02:36:56
131,Upernavik,72.7868,-56.1549,36.01,72,100,1.86,GL,2022-09-19 02:36:56
132,Airai,-8.9266,125.4092,81.23,27,94,2.44,TL,2022-09-19 02:36:56
133,Prince Rupert,54.3161,-130.3201,59.09,80,0,12.66,CA,2022-09-19 02:36:57
134,Alofi,-19.0595,-169.9187,80.49,78,8,16.11,NU,2022-09-19 02:36:57
135,Ayagoz,47.9714,80.4392,59.81,26,0,14.72,KZ,2022-09-19 02:36:58
